Openissues: 1976
Closedissues 2324
{comments=5, state=closed, durationTime=69 Days 0 Hours 18 Minutes 42 Seconds}
{comments=5, state=closed, durationTime=25 Days 0 Hours 4 Minutes 24 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=4 Days 5 Hours 27 Minutes 0 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=21 Days 12 Hours 30 Minutes 42 Seconds}
{comments=5, state=closed, durationTime=33 Days 16 Hours 48 Minutes 16 Seconds}
{comments=5, state=closed, durationTime=0 Days 0 Hours 23 Minutes 41 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=241 Days 9 Hours 47 Minutes 15 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=20 Days 2 Hours 27 Minutes 27 Seconds}
{comments=5, state=closed, durationTime=4 Days 1 Hours 18 Minutes 53 Seconds}
{comments=5, state=closed, durationTime=2 Days 19 Hours 46 Minutes 5 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=813 Days 21 Hours 58 Minutes 48 Seconds}
{comments=5, state=closed, durationTime=5 Days 23 Hours 42 Minutes 35 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=9 Days 13 Hours 16 Minutes 11 Seconds}
{comments=5, state=closed, durationTime=36 Days 17 Hours 20 Minutes 38 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=6 Days 3 Hours 33 Minutes 13 Seconds}
{comments=5, state=closed, durationTime=6 Days 8 Hours 46 Minutes 10 Seconds}
{comments=5, state=closed, durationTime=12 Days 7 Hours 38 Minutes 53 Seconds}
{comments=5, state=open, durationTime=No}
{comments=5, state=closed, durationTime=1 Days 3 Hours 5 Minutes 17 Seconds}
{comments=5, state=open, durationTime=No}
